#,Name,Price,Description,Image
48,"Toyota Avensis 2 поколение Седан , 2004",9500$ ,"2004 132000 км Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/WUZ0wamaV7OjudfXNI05FQ/1080x-/20230129/d552254d3677ab037d2d4530c59d9b42.jpg
49,"Hyundai Sonata YF Седан 4-дв. , 2016",12900$ ,"2016 181000 км Седан,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/7FVG8PAkyWZX3Aqa952rtg/1080x-/20230129/48beac84a1d29821ea4429594beb12a2.jpg
50,"Kia Sorento 3 поколение Prime кроссовер , 2016",24$ ,"2016 41000 км Кроссовер,
                                        белый жемчуг,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        типтроник,
                                        полный подключаемый,",https://i.cars.kg/preview/r/EB3GHbfGkSjJSWMENBYB_w/1080x-/20230129/89f04e9d14ddde50259b40a0c498f508.jpeg
51,"Toyota Alphard 1 поколение [рестайлинг] Минивэн , 2004",15000$ ,"2004 300000 км Минивэн / Бус,
                                        серый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/HrGItk-SFhNpNewBKnjyfA/1080x-/20230129/baefa4c6ab76005c94acfaec00d2c690.jpg
52,"Toyota Camry XV40 [рестайлинг] Hybrid седан 4-дв. , 2011",13900$ ,"2011 133000 км Седан,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/Uc4MEPYBsmfBYf65eqxNlQ/1080x-/20230129/f3fac8597fed28f7dcfd66a1cc9bac68.jpg
53,"Toyota Camry XV40 , 2008",10500$ ,"2008 250 км Седан,
                                        серый,
                                        2.4 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/V6y9BvoJefZX2Y9UTmYZyA/1080x-/20230129/42d6f1d23f68d0188d11da29b8a5a6d4.jpg
54,"Honda Stream 1 поколение Минивэн , 2002",6200$ ,"2002 158000 км Минивэн / Бус,
                                        белый,
                                        1.7 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/08RBZEcGfpjGstNUxovAcg/1080x-/20230129/26a8666bb348dd584e1bf17f2adfad39.jpg
55,"Kia Sorento 3 поколение Prime кроссовер , 2016",25900$ ,"2016 125000 км Кроссовер,
                                        серый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/klYlX5CPjvC7L7-TJT7Pbw/1080x-/20230129/24c56fb4ddf3ed24e47bea7477981398.jpg
56,"Hyundai Sonata , 2016",13800$ ,"2016 155000 км Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/KRo37QFzIXTuNN0F6okUgA/1080x-/20230129/c68f0a18af529a9c163bcf49dedb2ff8.jpg
57,"Lexus GX 1 поколение Внедорожник , 2005",25500$ ,"2005 272000 км Внедорожник / Пикап,
                                        золотой,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/kEhw07MDI47-FQyDnYJNzA/1080x-/20230129/cddea097f4097f118b8ebf41627cf000.jpg
